City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
125,Bubaque,GW,2021-04-04 02:35:00,11.2833,-15.8333,75.04,81,28,12.08,scattered clouds
126,Carnarvon,AU,2021-04-04 02:35:01,-24.8667,113.6333,87.8,35,0,13.8,clear sky
127,Namibe,AO,2021-04-04 02:31:46,-15.1961,12.1522,76.37,85,60,4.14,broken clouds
128,Ulyanovka,RU,2021-04-04 02:35:01,59.6394,30.7647,34.0,93,0,4.47,clear sky
129,Saint-Ambroise,CA,2021-04-04 02:35:01,48.5501,-71.3324,28.0,68,6,6.91,clear sky
130,Alamosa,US,2021-04-04 02:35:02,37.4695,-105.87,55.4,16,1,5.75,clear sky
131,Hay River,CA,2021-04-04 02:35:02,60.8156,-115.7999,23.0,58,66,3.44,broken clouds
132,Okha,RU,2021-04-04 02:35:03,53.5739,142.9478,24.85,90,100,31.72,light snow
133,Pisco,PE,2021-04-04 02:35:04,-13.7,-76.2167,73.99,78,92,1.14,overcast clouds
134,Port Lincoln,AU,2021-04-04 02:35:04,-34.7333,135.8667,74.55,62,3,9.64,light rain
135,Avera,US,2021-04-04 02:32:17,33.194,-82.5271,46.0,70,1,4.16,clear sky
136,Talnakh,RU,2021-04-04 02:35:05,69.4865,88.3972,-5.55,76,3,10.67,clear sky
137,Dwarka,IN,2021-04-04 02:35:05,22.2394,68.9678,81.25,69,3,7.67,clear sky
138,College,US,2021-04-04 02:31:26,64.8569,-147.8028,30.99,86,90,4.61,fog
139,Anadyr,RU,2021-04-04 02:35:05,64.75,177.4833,3.2,78,40,15.66,scattered clouds
140,Padang,ID,2021-04-04 02:31:39,-0.9492,100.3543,78.8,78,90,2.3,light rain
141,Camacupa,AO,2021-04-04 02:35:06,-12.0167,17.4833,58.82,92,100,1.7,overcast clouds
142,Husavik,IS,2021-04-04 02:35:06,66.0449,-17.3389,23.0,74,90,18.41,light snow
143,Cadillac,US,2021-04-04 02:31:24,44.2519,-85.4012,37.4,70,1,5.26,clear sky
144,Tokamachi,JP,2021-04-04 02:35:07,37.1333,138.7667,61.0,77,100,2.77,moderate rain
145,Mbuji-Mayi,CD,2021-04-04 02:35:07,-6.15,23.6,69.53,95,98,2.08,overcast clouds
146,Hambantota,LK,2021-04-04 02:35:07,6.1241,81.1185,77.0,88,0,6.91,clear sky
147,Monte Gordo,PT,2021-04-04 02:35:08,37.1819,-7.4523,57.99,94,0,4.61,clear sky
148,Kaitangata,NZ,2021-04-04 02:32:11,-46.2817,169.8464,65.14,64,49,15.55,scattered clouds
149,Lebu,CL,2021-04-04 02:31:29,-37.6167,-73.65,52.88,91,3,9.06,clear sky
150,Hwange,ZW,2021-04-04 02:35:08,-18.3693,26.5019,64.02,68,0,1.63,clear sky
151,The Pas,CA,2021-04-04 02:35:08,53.8251,-101.2541,41.0,48,90,2.3,overcast clouds
152,Mahebourg,MU,2021-04-04 02:30:49,-20.4081,57.7,78.8,89,40,3.44,light rain
153,Neyshabur,IR,2021-04-04 02:35:09,36.2133,58.7958,50.27,49,38,6.6,scattered clouds
154,Port Elizabeth,ZA,2021-04-04 02:35:09,-33.918,25.5701,57.2,88,0,3.44,clear sky
155,Moen,NO,2021-04-04 02:35:09,69.1304,18.6123,30.2,93,90,2.3,light snow
156,Pathein,MM,2021-04-04 02:35:10,16.7833,94.7333,86.34,47,94,11.95,overcast clouds
157,Comodoro Rivadavia,AR,2021-04-04 02:35:10,-45.8667,-67.5,60.8,67,0,4.61,clear sky
158,Cherskiy,RU,2021-04-04 02:33:11,68.75,161.3,2.98,81,40,3.56,scattered clouds
159,Liku,ID,2021-04-04 02:35:11,-0.7275,119.8922,89.08,54,41,4.14,scattered clouds
